"","year","unemployment","totalWages","avgWage","natHHMedIncome","housingMed","rentMed","zhvi","natUnemployment"
"1",2001,137583,3987490142,28982.43,56531,140315,NA,144750,362
"2",2002,137968,4059948682,29426.74,55871,150475.25,NA,150200,414
"3",2003,136455,4137936278,30324.55,55823,162705.25,NA,159550,407
"4",2004,139482,4371274366,31339.34,55629,177181.25,NA,176100,376
"5",2005,145198,4690285627,32302.69,56224,213317.25,NA,204650,331
"6",2006,148826,4947396930,33242.83,56663,248050,NA,240450,282
"7",2007,151085,5185818474,34323.85,57423,255500,NA,250200,308
"8",2008,147764,5225369633,35362.94,55376,242200,NA,240650,366
"9",2009,135720,4814614624,35474.61,54988,230402.875,NA,224550,629
"10",2010,134572,4829633517,35888.84,53568,231095,NA,218500,496
"11",2011,135602,4987173462,36778.02,52751,213803.25,1095,199900,420
"12",2012,136858,5148398977,37618.55,52666,217187.5,1095,198950,372
"13",2013,138694,5319383548,38353.38,54525,225912.5,1095,209950,365
"14",2014,142129,5597437398,39382.8,53718,231962.5,1195,220800,344
"15",2015,146800,5993019180,40824.38,56516,237525,1200,232300,284
